Gaia_DR3_Source,Gaia_DR2_Source,RA,Dec,Plx,e_Plx,pmRA,pmDE,e_pm,RUWE,Gmag,e_Gmag,bp_rp,e_bp_rp,RV,e_RV,RV_Gaia,e_RV_Gaia,RV_GES,e_RV_GES,RV_Dario,e_RV_Dario,Teff_TIC_model,Teff_Gaia_bprp,Source_Spec,Teff_Spec,logg_Spec,[Fe/H]_Spec,RV_Spec,Li_Spec,Vbroad_Spec,Prot,Prot_TESS,Member_Gaia,Member_CG,Member_Theia,Member_DJF,Member_Hunt,Member_Curtis,Binary_Astrom,Binary_Spec,Binary_Phot,d_Plx,d_pm,d_RV,d_CMD,Done,N_Sectors_Cycle1,N_Sectors_Cycle3,N_Sectors_Cycle5,LS_Power_Cycle1,LS_Period_Cycle1,LS_Power_Cycle1_rapid,LS_Period_Cycle1_rapid,LS_Power_Cycle1_slow,LS_Period_Cycle1_slow,LS_Power_Cycle3,LS_Period_Cycle3,LS_Power_Cycle3_rapid,LS_Period_Cycle3_rapid,LS_Power_Cycle3_slow,LS_Period_Cycle3_slow,LS_Power_Cycle5,LS_Period_Cycle5,LS_Power_Cycle5_rapid,LS_Period_Cycle5_rapid,LS_Power_Cycle5_slow,LS_Period_Cycle5_slow,Possible_Blend_Cycle1,Possible_Blend_Cycle3,Possible_Blend_Cycle5,Plx_Outlier,RV_Outlier,PM_Outlier,Power_Final,Prot_Final,Class,Binary_Candidate,Dario_Class
5340149515966949888,5340149515966949888,166.78288471464,-58.68519883812,2.0657,0.0141,-9.756,5.562,0.0212602916254693,0.795,11.593271,0.002761,0.602913,0.004751017785696029,nan,nan,2.27,5.77,nan,nan,nan,nan,6668.873151080808,nan,...,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.11172249534124808,8.799006680545586,0.019109095661468296,2.782598723844949,0.11172249534124808,8.799006680545586,0.10691983209342046,8.435275730361028,0.02086486718781839,2.996812694680618,0.10691983209342046,8.435275730361028,0.005568836265389175,7.330775344666766,0.002181779452012581,2.513905817422667,0.005568836265389175,7.330775344666766,0,0,0,0.0,0.0,0.0,0.11172249534124808,8.435275730361028,1.0,0.0,-1.0
5340149619046148864,5340149619046148864,166.76009848405,-58.6830519174,2.0348,0.1251,-10.612,5.517,0.1839347710466947,1.006,18.198462,0.003454,2.677181,0.03863676654431631,nan,nan,nan,nan,nan,nan,nan,nan,3355.0513233237643,3374.4,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,1,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5340149687765636096,5340149687765636096,166.73332091271,-58.66967332451,2.1177,0.0204,-11.275,5.222,0.029,1.198,10.742576,0.002763,0.32338,0.004732200016905456,nan,nan,2.2,2.35,nan,nan,nan,nan,7823.570043451609,7710.4,...,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.04942552473385305,8.464198764670236,0.020346972493991748,1.342181218672035,0.04942552473385305,8.464198764670236,0.043095202483130965,6.385451116201175,0.007266593110772014,2.1847393463198252,0.043095202483130965,6.385451116201175,0.002000814802273748,8.282680511114233,0.00098336980148102,2.8081142182206866,0.002000814802273748,8.282680511114233,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5340149756485184512,5340149756485184512,166.77283872676,-58.65751226078,2.1424,0.0326,-10.407,5.745,0.04601086828130936,1.016,15.845523,0.002793,1.640291,0.005891098369574218,nan,nan,nan,nan,nan,nan,nan,nan,4177.761307025802,4449.3,...,nan,nan,nan,nan,nan,nan,11.956700325012207,nan,1,1,1,1,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.05247650383030154,6.8613497234549286,0.027914259412118676,2.886073113678477,0.05247650383030154,6.8613497234549286,0.01914591157334204,7.181753424236444,0.004859986068181784,0.47847366998922847,0.01914591157334204,7.181753424236444,0.003994399167870225,10.92906691478889,0.0030148231240723386,1.9292458933259562,0.003994399167870225,10.92906691478889,0,0,0,0.0,0.0,0.0,0.05247650383030154,6.8613497234549286,3.0,0.0,1.0
5340149825204648320,5340149825204648320,166.72698784352,-58.64612818456,2.2082,0.0396,-10.102,4.888,0.06020797289396147,2.803,13.725612,0.002783,0.971801,0.005031771159343398,nan,nan,9.47,5.26,nan,nan,nan,nan,5446.88118663229,5424.8,...,nan,nan,nan,nan,nan,nan,6.7505998611450195,nan,1,1,1,1,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.09519417683368851,5.658041242836604,0.014329672418138343,2.1378867047828196,0.09519417683368851,5.658041242836604,0.022111744053859236,7.940293311995077,0.007472604216126571,0.2337057386193575,0.022111744053859236,7.940293311995077,0.0045599948146153885,0.12985983551240174,0.0045599948146153885,0.12985983551240174,0.0026928751884205456,5.782039477897026,0,0,0,0.0,0.0,0.0,0.09519417683368851,5.658041242836604,3.0,1.0,3.0
5340149825204658944,5340149825204658944,166.72674409896,-58.64212425188,2.1065,0.0162,-10.727,5.256,0.024083189157584593,0.935,14.149529,0.002775,1.039923,0.00517623589106988,nan,nan,-2.4,5.28,nan,nan,nan,nan,5267.855088333604,5157.5,...,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.086378092740392,5.670967462734404,0.01121720012949363,2.580750618809529,0.086378092740392,5.670967462734404,0.022111744053859236,7.940293311995077,0.007472604216126571,0.2337057386193575,0.022111744053859236,7.940293311995077,0.005195146275297129,4.2393444019446855,0.000987118624724178,2.049511324384839,0.005195146275297129,4.2393444019446855,0,0,0,0.0,0.0,0.0,0.005195146275297129,4.2393444019446855,3.0,0.0,-1.0
5340149825204669184,5340149825204669184,166.74628206786,-58.64533176119,2.1097,0.0159,-10.404,5.519,0.022671568097509268,0.901,9.762612,0.002767,0.273127,0.004729426392280569,nan,nan,7.57,3.86,nan,nan,nan,nan,8060.8786924136675,7869.4,...,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.05187657326899081,0.12985983551240174,0.05187657326899081,0.12985983551240174,0.013915359818357665,10.276017230286664,0.03440277479772181,0.2331730373142235,0.03440277479772181,0.2331730373142235,0.00551434350551281,3.945306322285545,0.02859431352478653,0.12985983551240174,0.02859431352478653,0.12985983551240174,0.00124511503808803,3.808197857932586,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5340149859564401920,5340149859564401920,166.93858903822,-58.71510686542,2.1354,0.0145,-10.309,4.66,0.021213203435596427,0.787,11.252971,0.002796,0.457836,0.005149393168131561,nan,nan,19.28,6.57,nan,nan,nan,nan,7247.202907773973,7271.0,...,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.28074589908851294,26.01242465382858,0.11367171986914493,0.3821553490849931,0.28074589908851294,26.01242465382858,0.4320891294819299,20.87107542872348,0.1112466668104277,0.4000008158015082,0.4320891294819299,20.87107542872348,0.14857620367534718,0.4000008158015082,0.14857620367534718,0.4000008158015082,0.012091985456689458,15.025678814301274,0,0,0,0.0,1.0,0.0,0.0,nan,0.0,0.0,-1.0
5340149928283894528,5340149928283894528,166.9158368388,-58.70151344785,2.0898,0.0124,-10.623,5.202,0.01769180601295413,0.891,12.795917,0.002778,0.768274,0.0048783080058561286,nan,nan,1.36,8.83,nan,nan,nan,nan,6068.7174052013415,6033.4,...,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.20477227851374435,3.986028858561929,0.022488402950415896,1.9964263124429158,0.20477227851374435,3.986028858561929,0.044674955838138235,4.844789725321714,0.01919491613792211,1.9580752955578884,0.044674955838138235,4.844789725321714,0.033365766331694094,4.059465102635342,0.0052402774768835385,1.9941497196077416,0.033365766331694094,4.059465102635342,0,0,0,0.0,0.0,0.0,0.20477227851374435,4.059465102635342,1.0,0.0,-1.0
5340149962643636608,5340149962643636608,166.90785870639,-58.69718953129,2.0725,0.0163,-11.718,4.729,0.023345235059857503,1.013,14.133698,0.002806,1.060322,0.005333108099410699,nan,nan,4.94,6.13,nan,nan,nan,nan,5216.846243651383,5140.3,...,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,0,1,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.12181287755687328,1.7689999043961573,0.12181287755687328,1.7689999043961573,0.04212073787158017,3.556215766512147,0.11539387109415694,1.7689999043961573,0.11539387109415694,1.7689999043961573,0.0348106218268118,3.5521604927041834,0.03380006606086392,1.7689999043961573,0.03380006606086392,1.7689999043961573,0.010381939788644627,3.5724832110879876,0,0,0,0.0,0.0,0.0,0.12181287755687328,1.7689999043961573,1.0,0.0,-1.0
